l1start | У меня есть веские основания полагать, что маленький принц прилетел с планетки, которая называется "астероид В-612". 
l1start | 
l1start | Этот астероид был замечен в телескоп лишь один раз, в 1909 году, одним турецким астрономом.

l1start2 | Если идти все прямо да прямо, далеко не уйдешь... 
l1start2 |
l1start2 | Это ничего, ведь у меня там очень мало места.

l1tooltip | Исследуй планету. 
l1tooltip | 
l1tooltip | Используй клавиши 
l1tooltip | [W] [A] [S] [D] 
l1tooltip | чтобы передвигаться.
l1tooltip | 
l1tooltip | Используй клавишу 
l1tooltip | [ПРОБЕЛ] 
l1tooltip | чтобы скрыть окно диалога.
l1tooltip | 
l1tooltip | Используй клавишу
l1tooltip | [E] 
l1tooltip | для взаимодействия с объектом.

l1rosewc | РОЗА: 
l1rosewc | Ах, я насилу проснулась... Прошу извинить... Я еще совсем растрепанная...
l1rosewc | 
l1rosewc | ПРИНЦ: 
l1rosewc | Как вы прекрасны!
l1rosewc | 
l1rosewc | РОЗА: 
l1rosewc | Да, правда? - был тихий ответ. - И заметьте, я родилась вместе с солнцем.

l1rosewc2 | *ПОДСКАЗКА*
l1rosewc2 | Дрожайшую розу нужно поливать. В суровых условиях планеты она совсем увядает без воды. Не забывай возвращаться и поливать розу, когда она начнет засыхать!

l1baobabRise | На планете Маленького принца есть ужасные, зловредные семена... это семена баобабов. Почва планеты вся заражена ими. А если баобаб не распознать вовремя, потом от него уже не избавишься. Он завладеет всей планетой. Он пронижет её насквозь своими корнями. И если планета очень маленькая, а баобабов много, они разорвут её на клочки.

gameover | Похоже мы проиграли. Предлагаю начать уровень заново!




speed_13 | Слишком быстро! Фонарщик не успевает даже моргнуть.
speed_10 | Кажется ничего не изменилось – все так же быстро.
speed_8 | Слишком быстро. Нужны более сильные тормоза.
speed_7 | Слишком быстро. Нужны более сильные тормоза.
speed_5 | Близко, но не то. Стоит попробовать другую комбинацию.
speed_2 | Планета замедлилась! Фонарщик успевает зажечь и погасить свет.
speed_0 | Перебор… Планета почти встала.
lantern_success | Ты... ты сделал это! Теперь у меня есть целая минута между закатом и рассветом!
